ID,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO_TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO_APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
1,3,16,2,0,0,0,0,0,1,3226,0,2,3,0,1,0,0,0,3,0,0,41,0,0,1,1,2,1,0,0,1
2,1,13,4,0,0,0,0,0,0,3158,0,3,2,0,1,0,0,0,4,1,0,42,0,0,0,1,2,1,1,0,1
3,1,16,2,1,0,0,0,0,0,1269,0,2,2,0,1,0,0,1,3,0,0,23,1,0,1,1,2,1,0,0,1
4,1,8,2,0,0,0,1,0,0,2575,4,2,0,0,0,0,0,0,2,0,0,23,0,1,0,1,1,1,0,0,0
5,0,16,2,1,0,0,0,0,0,5908,4,4,3,0,1,0,0,0,4,0,1,34,0,1,1,1,2,2,1,0,1
6,1,17,2,0,0,0,1,0,0,742,0,3,1,0,0,0,0,0,1,0,0,31,0,1,1,1,2,1,1,0,1
7,3,9,4,0,0,0,0,0,0,3801,0,1,1,0,1,0,0,0,2,1,0,37,0,0,1,1,2,1,0,0,1
8,3,6,4,0,0,0,1,,0,4084,0,1,3,0,0,0,0,1,2,1,0,38,0,0,1,1,2,2,0,0,1
9,1,40,0,1,0,0,0,0,0,6570,2,3,2,0,1,0,0,0,4,0,1,39,0,0,0,1,3,1,1,0,0
10,1,20,4,0,0,0,0,0,0,1543,0,4,0,0,0,1,0,0,1,0,0,40,1,0,1,1,2,1,0,0,1
11,0,36,4,0,0,0,1,0,0,1518,2,0,2,0,1,0,0,0,4,0,0,35,0,0,0,3,2,2,0,0,1
12,1,35,2,1,0,0,0,0,0,1927,0,2,3,0,0,0,0,0,4,0,0,24,0,1,0,1,2,2,0,0,0
13,3,24,2,0,0,0,0,0,0,3202,0,1,3,1,0,0,0,0,4,0,0,25,0,1,0,1,2,1,0,0,0
14,0,24,3,0,0,0,0,0,0,2287,0,2,1,0,1,0,0,0,1,0,0,30,0,0,1,2,2,1,0,0,0
15,0,21,2,0,0,1,1,0,0,1132,0,1,4,0,0,1,0,0,3,0,0,16,0,1,1,1,2,1,0,0,0
16,1,47,3,0,0,0,0,0,0,12894,0,0,3,0,1,0,0,0,4,1,0,58,0,0,1,1,1,1,0,0,1
17,2,21,2,0,0,1,1,0,1,741,1,2,2,1,0,0,0,0,1,1,0,28,1,0,1,1,2,1,1,0,1
18,0,10,2,0,0,0,0,0,0,2537,0,4,3,0,1,0,0,0,1,0,0,43,0,0,1,1,2,2,1,0,1
19,3,20,3,0,0,0,0,0,0,2838,4,3,3,0,0,0,0,0,4,0,0,37,0,1,1,1,2,1,0,0,0
20,3,5,2,0,0,0,1,0,0,843,0,3,2,0,0,0,0,0,2,1,0,38,0,0,1,2,1,2,0,0,1
21,0,22,4,0,1,0,0,0,1,3839,4,3,3,0,1,0,0,0,4,0,1,23,1,0,1,2,3,1,1,0,1
22,3,24,2,1,0,1,0,0,1,3142,0,2,3,0,1,0,0,0,2,0,1,27,0,0,0,1,2,1,0,0,1
23,1,12,2,0,0,0,0,0,0,2400,0,2,3,0,1,0,0,0,2,0,0,27,0,0,1,1,3,1,0,0,1
24,3,11,2,0,0,0,0,0,0,5428,0,2,3,0,1,0,0,0,4,1,0,28,0,0,1,1,2,1,0,0,1
25,0,23,3,0,0,0,0,0,0,5265,1,3,3,0,1,0,0,0,4,1,0,58,0,0,1,1,2,1,0,0,1
26,1,42,2,0,0,1,0,0,1,3107,0,2,3,0,0,0,0,1,4,1,0,999,1,1,1,1,2,1,0,0,1
27,1,23,2,0,0,0,1,0,0,980,0,1,3,0,0,1,0,1,2,0,0,35,0,0,1,1,2,1,0,0,1
28,3,23,3,0,0,0,0,0,0,1981,4,4,2,0,1,0,0,0,2,0,0,27,0,0,1,2,2,2,1,0,1
29,3,31,2,0,0,0,1,0,0,6691,0,4,4,0,1,0,0,0,2,0,0,50,0,0,1,1,2,1,1,0,1
30,2,23,2,0,0,1,0,0,0,3095,0,3,3,0,1,0,0,0,4,0,0,57,0,0,0,1,2,1,0,0,1
31,0,7,2,0,0,1,1,0,1,6147,1,0,2,0,1,0,0,0,3,0,0,22,0,1,1,1,2,1,0,0,0
32,0,13,2,0,0,0,1,0,0,2060,0,3,3,0,0,0,0,0,2,1,0,28,0,0,1,1,1,1,0,0,1
33,0,56,4,0,0,0,1,0,0,4208,0,4,3,0,1,0,0,0,2,0,0,38,0,0,1,2,2,1,0,0,1
34,3,22,2,0,0,0,0,0,0,563,0,4,2,1,0,0,0,0,4,0,0,25,0,0,1,1,3,1,0,0,1
35,3,18,2,0,0,1,1,0,0,1891,0,4,1,0,0,0,0,0,4,1,0,36,0,1,1,1,2,1,1,0,0
36,3,53,2,0,0,1,0,0,0,3303,1,1,1,0,1,0,0,0,4,1,0,29,0,1,0,1,2,1,0,0,0
37,0,10,2,0,0,0,0,0,0,1886,0,3,3,0,1,0,0,1,4,0,0,42,1,1,0,1,2,1,0,0,0
38,3,27,4,0,1,0,0,0,0,1992,2,4,3,0,1,0,0,0,4,1,0,35,0,0,1,1,2,2,0,0,1
39,0,8,2,0,0,0,1,0,0,1387,2,2,1,0,0,0,1,0,4,1,0,26,0,0,0,1,2,1,1,0,0
40,0,7,2,0,0,1,0,0,0,3193,4,3,2,0,1,0,0,0,4,0,0,43,0,0,1,1,2,1,0,0,0
41,3,14,4,0,0,0,0,0,0,6603,4,2,2,1,1,0,0,0,2,0,0,23,0,0,1,1,2,1,1,0,1
42,3,11,4,0,0,0,1,0,0,1484,0,3,3,0,1,0,0,0,4,0,0,34,0,0,1,2,2,1,0,0,1
43,1,4,2,1,0,1,1,0,0,966,0,2,2,0,0,0,0,0,4,0,0,36,0,1,0,1,2,1,0,0,0
44,1,38,0,0,0,1,1,0,0,9999999,0,2,1,0,1,0,0,0,4,0,0,34,0,1,1,1,2,1,0,0,1
45,2,8,4,1,0,0,1,0,0,1754,3,3,2,0,1,0,0,0,4,1,0,34,0,0,1,1,1,1,0,0,1
46,0,5,2,0,0,0,0,0,0,1236,0,1,4,0,0,0,0,0,3,0,0,20,0,0,1,1,2,1,0,0,0
47,0,9,2,1,0,0,1,0,0,1296,4,1,2,0,0,0,0,0,3,0,0,37,0,0,1,1,2,1,0,0,0
48,0,35,1,0,0,0,0,0,1,1582,0,2,4,0,1,0,0,0,1,0,0,22,0,0,1,1,2,1,0,0,1
49,3,11,2,0,0,0,0,0,1,3266,2,4,3,0,1,0,0,0,2,0,0,24,0,0,1,1,2,1,0,0,1
50,3,7,3,0,0,0,0,0,0,1310,0,3,2,0,1,0,0,0,2,0,0,42,0,0,1,1,2,1,1,0,1
51,0,24,2,0,0,0,0,0,0,1118,0,2,1,0,0,1,0,0,4,0,0,24,0,1,0,1,1,1,0,1,1
52,3,17,2,0,0,0,0,0,0,1339,1,4,3,0,0,0,0,0,3,1,0,40,1,0,1,2,1,1,0,0,1
53,0,6,2,0,0,0,0,0,0,3555,2,1,1,0,0,0,0,0,3,1,0,27,0,1,0,1,3,1,0,0,1
54,0,47,1,0,0,0,1,0,1,2928,0,2,3,0,1,0,0,0,2,1,0,23,0,0,1,2,2,1,1,0,0
55,3,14,2,1,0,0,0,0,0,3533,4,1,2,0,0,0,0,0,4,1,0,18,1,1,0,1,2,1,1,0,1
56,1,40,4,1,0,0,0,0,0,6547,0,4,3,0,0,0,0,0,4,0,1,35,0,0,1,1,3,1,0,0,1
57,1,19,1,0,1,0,0,0,0,1232,2,4,3,0,1,0,0,0,2,0,1,58,1,0,0,1,3,2,0,0,0
58,3,41,4,0,0,0,1,0,0,1169,1,3,2,0,0,1,0,0,2,0,0,26,0,0,1,1,1,1,0,0,1
59,1,11,3,0,0,1,1,0,0,6084,4,3,3,0,1,0,0,0,1,0,0,57,0,0,0,1,2,1,1,0,1
60,3,8,2,0,0,1,0,0,0,2550,0,2,1,0,0,0,0,0,4,0,0,33,0,1,1,1,0,1,1,0,1
61,0,16,2,1,0,0,0,0,0,1356,4,0,3,0,1,0,0,0,4,0,0,65,0,0,0,2,1,2,1,0,0
62,3,42,2,0,0,1,0,0,1,7040,0,2,1,0,0,0,0,0,1,0,0,52,0,,1,1,3,2,1,0,1
63,0,20,2,0,0,0,0,0,0,4556,0,1,2,0,0,1,0,0,3,0,0,24,1,1,0,1,2,1,0,0,0
64,2,8,4,0,0,0,0,1,0,1143,0,3,3,0,0,0,0,0,4,0,1,42,0,1,0,1,1,1,1,0,1
65,1,11,4,0,0,0,0,0,0,2088,1,4,3,0,1,0,0,0,4,0,0,27,0,1,0,1,2,1,0,0,1
66,3,22,2,1,0,0,0,0,0,1092,0,0,2,0,1,0,0,0,4,0,0,34,0,0,0,1,0,1,0,0,1
67,2,9,4,1,0,0,0,0,0,2664,0,2,3,0,0,0,0,0,1,1,0,30,0,0,1,1,2,2,0,0,1
68,3,25,2,0,0,0,0,0,0,5071,4,4,2,1,0,0,0,0,3,0,0,28,0,0,1,1,3,1,1,0,1
69,2,11,0,0,0,0,0,0,0,1134,0,3,1,0,0,0,0,0,2,1,0,21,0,0,0,2,2,1,0,0,1
70,3,16,0,1,0,0,0,0,0,985,2,2,2,0,0,0,0,0,1,1,0,27,0,0,1,1,2,1,0,0,1
71,1,32,4,0,1,1,0,0,0,7709,0,4,3,1,1,1,0,0,2,0,0,30,0,0,1,2,3,1,1,0,0
72,3,6,3,0,0,0,0,0,0,3703,0,3,2,0,1,0,0,0,2,0,0,40,0,0,1,1,2,2,0,0,1
73,0,9,4,0,0,0,1,0,0,1625,4,3,3,0,0,0,0,0,3,0,0,53,0,0,1,1,2,1,0,0,1
74,1,10,2,0,0,0,0,0,0,2780,0,2,0,0,0,0,0,0,2,1,0,20,0,0,1,3,2,1,0,0,1
75,0,6,4,0,0,0,0,0,0,2684,2,3,0,0,1,0,0,0,4,0,0,27,1,0,1,1,2,2,0,0,1
76,0,49,0,1,0,0,0,0,0,15308,4,1,2,0,1,0,0,0,1,0,1,41,1,0,1,1,3,1,0,0,0
77,3,17,4,1,0,1,0,0,0,1246,0,3,4,0,1,0,0,0,3,0,0,999,0,1,0,1,3,1,0,0,1
78,0,22,3,0,0,0,0,0,0,4256,2,2,2,1,1,0,0,0,2,0,0,44,0,0,1,1,1,1,0,0,1
79,3,11,2,0,0,0,0,0,0,1375,0,1,3,0,0,0,0,0,4,1,0,26,1,0,1,1,2,1,0,0,0
80,1,23,2,1,1,1,0,0,0,3179,3,1,1,0,1,0,0,0,2,0,0,29,0,0,1,1,2,1,0,0,1
